author,title,id,tokens,chars
"Twain, Mark",The Tragedy of Pudd'nhead Wilson,PG102,53141,294744
"Twain, Mark",Extract from Captain Stormfield's Visit to Heaven,PG1044,14961,81626
"Twain, Mark",A Horse's Tale,PG1086,17524,97363
"Twain, Mark",Plus fort que Sherlock Holmès,PG11622,35598,213176
"Twain, Mark",A Tramp Abroad,PG119,156690,879882
"Twain, Mark",The Man That Corrupted Hadleyburg,PG1213,17693,100998
"Twain, Mark","The $30,000 Bequest, and Other Stories",PG142,94441,523384
"Twain, Mark",Mark Twain: Tri Noveloj,PG17945,9558,60033
"Twain, Mark",The Prince and the Pauper,PG1837,70047,395912
"Twain, Mark",De Lotgevallen van Tom Sawyer,PG18381,74094,432350
"Twain, Mark","Extracts from Adam's Diary, translated from the original ms.",PG1892,4374,23037
"Twain, Mark",Editorial Wild Oats,PG19484,9764,56392
"Twain, Mark",Chapters from My Autobiography,PG19987,109325,608007
"Twain, Mark",Mark Twain: Tri Ceteraj Noveloj,PG20943,9986,61591
"Twain, Mark",Is Shakespeare Dead?: From My Autobiography,PG2431,21013,124260
"Twain, Mark",Life on the Mississippi,PG245,144474,808267
"Twain, Mark",On the Decay of the Art of Lying,PG2572,2218,12613
"Twain, Mark",Personal Recollections of Joan of Arc — Volume 1,PG2874,79546,429091
"Twain, Mark",Personal Recollections of Joan of Arc — Volume 2,PG2875,71282,389191
"Twain, Mark",The Works of Mark Twain: An Index of all Project Gutenberg Editions,PG28803,361,2007
"Twain, Mark",Following the Equator: A Journey Around the World,PG2895,187733,1079930
"Twain, Mark",Die Abenteuer Tom Sawyers,PG30165,68127,424371
"Twain, Mark",Les Aventures De Tom Sawyer,PG30890,73650,418356
"Twain, Mark",In Defence of Harriet Shelley,PG3171,15583,91367
"Twain, Mark",Fenimore Cooper's Literary Offences,PG3172,4863,28264
"Twain, Mark",Essays on Paul Bourget,PG3173,10893,61342
"Twain, Mark",A Dog's Tale,PG3174,4318,22730
"Twain, Mark",Mark Twain's Burlesque Autobiography,PG3175,4872,27506
"Twain, Mark",The Innocents Abroad,PG3176,193213,1106867
"Twain, Mark",Roughing It,PG3177,166180,945825
"Twain, Mark",The Gilded Age: A Tale of Today,PG3178,158645,888073
"Twain, Mark",The American Claimant,PG3179,64057,362717
"Twain, Mark",A Double Barrelled Detective Story,PG3180,19074,105311
"Twain, Mark",The Stolen White Elephant,PG3181,6747,40493
"Twain, Mark",Some Rambling Notes of an Idle Excursion,PG3182,16342,90884
"Twain, Mark",The Facts Concerning the Recent Carnival of Crime in Connecticut,PG3183,6509,35121
"Twain, Mark","Alonzo Fitz, and Other Stories",PG3184,29900,169176
"Twain, Mark",Those Extraordinary Twins,PG3185,21359,118663
"Twain, Mark","The Mysterious Stranger, and Other Stories",PG3186,41387,222760
"Twain, Mark",Christian Science,PG3187,59809,346502
"Twain, Mark",Mark Twain's Speeches,PG3188,92184,507008
"Twain, Mark",Sketches New and Old,PG3189,97806,554045
"Twain, Mark",1601: Conversation as it was by the Social Fireside in the Time of the Tudors,PG3190,11578,67208
"Twain, Mark",Goldsmith's Friend Abroad Again,PG3191,6133,34196
"Twain, Mark","The Curious Republic of Gondour, and Other Whimsical Sketches",PG3192,16553,97495
"Twain, Mark",Mark Twain's Letters — Volume 1 (1853-1866),PG3193,42704,247601
"Twain, Mark",Mark Twain's Letters — Volume 2 (1867-1875),PG3194,45552,271061
"Twain, Mark",Mark Twain's Letters — Volume 3 (1876-1885),PG3195,64604,375251
"Twain, Mark",Mark Twain's Letters — Volume 4 (1886-1900),PG3196,77891,453052
"Twain, Mark",Mark Twain's Letters — Volume 5 (1901-1906),PG3197,31845,189359
"Twain, Mark",Mark Twain's Letters — Volume 6 (1907-1910),PG3198,12250,76595
"Twain, Mark",Mark Twain's Letters — Complete (1853-1910),PG3199,274863,1613035
"Twain, Mark",The Entire Project Gutenberg Works of Mark Twain,PG3200,194627,1117419
"Twain, Mark",The Adventures of Huckleberry Finn (Tom Sawyer's Comrade),PG32325,110615,568302
"Twain, Mark","How to Tell a Story, and Other Essays",PG3250,7236,39287
"Twain, Mark","The Man That Corrupted Hadleyburg, and Other Stories",PG3251,121408,686744
"Twain, Mark","The Treaty With China, its Provisions Explained: New York Tribune, Tuesday, August 28, 1868",PG33077,7070,42637
"Twain, Mark",Quotations from the Project Gutenberg Editions of the Works of Mark Twain,PG3432,9639,57302
"Twain, Mark",Kertoelmia ja jutelmia: Suomennoksia ja alkuperäisiä,PG34652,20762,162339
"Twain, Mark",Tom Sawyer: Koulupojan historia,PG45333,57816,424422
"Twain, Mark",Huckleberry Finnin (Tom Sawyerin toverin) seikkailut,PG47095,93399,658092
"Twain, Mark",Prinssi ja kerjäläispoika,PG47257,55599,417902
"Twain, Mark",Tom Sawyer salapoliisina: Huck Finnin kertomus,PG47410,14720,107757
"Twain, Mark",Tom Sawyer ilmailija: Huckleberry Finn'in jatko,PG47411,29777,201913
"Twain, Mark",Luotsina Mississippi-joella: Humoristinen kertomus,PG48397,21807,166421
"Twain, Mark",Johanna d'Arc: Kertomus hänen elämästään ja marttyrikuolemastaan,PG48412,49583,379772
"Twain, Mark",Jenkkejä maailmalla I: Heidän toivioretkensä Pyhälle Maalle,PG48415,69891,554661
"Twain, Mark",Jenkkejä maailmalla II: Heidän toivioretkensä Pyhälle Maalle,PG48416,73529,580632
"Twain, Mark",The Mysterious Stranger: A Romance,PG50109,37104,200197
"Twain, Mark",Taivasko vai helvetti y.m. humoreskeja,PG51795,19434,145828
"Twain, Mark",Nimensä pilannut kaupunki,PG53301,13930,108256
"Twain, Mark",The Innocents Abroad — Volume 01,PG5688,25384,152581
"Twain, Mark",The Innocents Abroad — Volume 02,PG5689,30230,172988
"Twain, Mark",The Innocents Abroad — Volume 03,PG5690,35860,205864
"Twain, Mark",The Innocents Abroad — Volume 04,PG5691,30718,174139
"Twain, Mark",The Innocents Abroad — Volume 05,PG5692,29936,168538
"Twain, Mark",The Innocents Abroad — Volume 06,PG5693,41150,233123
"Twain, Mark",A Tramp Abroad — Volume 01,PG5782,12905,72781
"Twain, Mark",A Tramp Abroad — Volume 02,PG5783,15428,86028
"Twain, Mark",A Tramp Abroad — Volume 03,PG5784,19224,108081
"Twain, Mark",A Tramp Abroad — Volume 04,PG5785,23561,130918
"Twain, Mark",A Tramp Abroad — Volume 05,PG5786,22654,126478
"Twain, Mark",A Tramp Abroad — Volume 06,PG5787,23335,130798
